department|HN-AT*|Atlántida||es||
department|HN-CH*|Choluteca||es||
department|HN-CL*|Colón||es||
department|HN-CM*|Comayagua||es||
department|HN-CP*|Copán||es||
department|HN-CR*|Cortés||es||
department|HN-EP*|El Paraíso||es||
department|HN-FM*|Francisco Morazán||es||
department|HN-GD*|Gracias a Dios||es||
department|HN-IN*|Intibucá||es||
department|HN-IB*|Islas de la Bahía||es||
department|HN-LP*|La Paz||es||
department|HN-LE*|Lempira||es||
department|HN-OC*|Ocotepeque||es||
department|HN-OL*|Olancho||es||
department|HN-SB*|Santa Bárbara||es||
department|HN-VA*|Valle||es||
department|HN-YO*|Yoro||es||
